id,a1,a2,a3,a4,a,b1,b2,b3,b4,b,c1,c2,c3,c4,c,d1,d2,d3,d4,d,final_word
1,Kuhinja,Natrijum,Slano,Hlor,So,Kiseonik,Vodonik,Žeđ,Čaša,Voda,Humor,Zlato,Udovica,Noć,Crno,Odbojka,Obala,Suncobran,Pesak,Plaža,More
2,Vez,Pesak,Novac,Mali,Sitan,Miš,Orao,Dvor,Medved,Beli,Peglanje,Građa,Pod,Glava,Daska,Talasi,Jahanje,Internet,Krstarenje,Surfovanje,Sneg
3,Finiš,Grupa,Svrha,Odredište,Cilj,Dimnjak,Puška,Hemija,Metla,Čišćenje,Gužva,Roba,Kontrola,Grad,Prevoz,Sitan,Iznos,Pomoć,Jedinica,Novac,Sredstvo
4,Festival,Foto-aparat,Tableta,Mjuzikl,Film,Odelo,Navika,Honorar,Berza,Rad,Hemija,Lanac,Alergija,Odgovor,Reakcija,Stadion,Golman,Pesak,Mini,Fudbal,Akcija
5,Kugla,Klub,Kiks,Štap,Bilijar,Zub,Nos,Matematika,Vojska,Operacija,Stopalo,Koleno,Ravna,Visoka,Noga,Let,Sijalica,Baterija,Aladin,Lampa,Sto
6,Novosti,Mrak,Matura,Škola,Veče,Sastanak,Sport,Šef,Kongres,Sala,Par,Noge,Štikla,Koža,Cipele,Bajaga,Letenje,Skijanje,Vožnja,Instruktor,Ples
7,Saobraćaj,Faul,Postupak,Pravila,Prekršaj,Opština,Starci,Nastavnik,Tužilac,Veće,Pravo,Branitelj,Vidovdan,Sretenje,Ustav,Reč,Krst,Obraz,Sestra,Čast,Sud
8,Audio,Video,Rendgen,Usporeni,Snimak,Sonata,Dvanaest,Pun,Mlad,Mesec,Balkan,Roman,Štikle,Gnezdo,Špijun,Insekt,Televizija,Odbojka,Krov,Antena,Satelit
9,Knedla,Jagode,Grebanje,Konj,Grlo,Srp,Staklo,Ajkula,Odbojka,Čekić,Violina,Francuska,Vrata,Ruke,Ključ,Bogovi,Glava,Ugao,Režanj,Teme,Kost
10,Pena,Lav,Crveno,Plod,More,Deka,Crvenkapa,Kolač,Stara,Baka,Otrov,Jež,Žica,Kaktus,Bodlja,Sestra,Želja,Tenor,Jerarh,Tri,Prase
11,Bespuće,Noga,Broj,Grom,Sto,Salata,Bomba,Multi,Injekcija,Vitamin,Biljka,Čili,Kim,Mešavina,Začin,Greška,Rebus,Alfabet,Glas,Slovo,C
12,Tegobe,Leptirići,Trbuh,Pupak,Stomak,Radni,Bolji,Crni,Odbrojani,Dani,Voda,Tura,Porok,Gazirano,Piće,Voće,Plastična,Drvena,Stan,Gajba,Pivo
13,Šunka,Gitara,Bol,Tolerancija,Prag,Evropa,Konsultacija,Prijatelj,Preporuka,Savet,Olovka,Reakcija,Element,Čista,Hemija,Omladina,Stan,Starački,Zdravlje,Dom,Kuća
14,Fudbal,Tenis,Lampa,Okrugli,Sto,Park,Škola,Skupština,Drvena,Klupa,Svedok,Zub,Karijera,Kralj,Kruna,Dinamit,Nagrada,Alfred,Institut,Nobel,Švedska
15,Ep,Srce,Protagonista,Glavni,Junak,Biblioteka,Ljudi,Kuhinja,Pripovetka,Narod,Lepak,Ego,Veleslalom,Market,Super,Sloboda,Republika,Cvet,"Nikola Pašić",Trg,Heroj
16,Svod,Plavo,Vedro,Sedmo,Nebo,Boja,Armija,Jabuka,Ruža,Crvena,Napoleon,Opijum,Balkan,Krstaši,Rat,Baltik,Karibi,Jadran,Sever,More,Zvezda
